taxonomy_id,#Count,#F1-score,#CDL1,#CDL2,#EMDistance,#FPS,#Objname,,,
0,3900,0.81738473,7.441979967,0.155146751,0,38.51814831,airplane,,,
1,3900,0.240376062,16.00703864,0.715276424,0,38.37775019,cabinet,,,
2,3900,0.27288898,14.57251752,0.552854938,0,38.46489301,car,,,
3,3900,0.342566813,13.95476856,0.539156595,0,38.33683632,chair,,,
4,3900,0.571920016,10.96478975,0.373210419,0,38.49457126,lamp,,,
5,3900,0.28458962,14.93813539,0.600068827,0,38.42314046,sofa,,,
6,3900,0.408321743,12.7902962,0.488999718,0,38.43467947,table,,,
7,3900,0.524496176,11.29902883,0.365233002,0,38.44786494,watercraft,,,
8,1300,0.285161589,15.47625799,0.67663467,0,38.39908739,bed,,,
9,1300,0.56082012,10.64681712,0.325532621,0,38.50287102,bench,,,
10,1300,0.264128318,15.48844785,0.655913036,0,38.40853891,bookshelf,,,
11,1300,0.451724191,11.99086179,0.404259008,0,38.40246513,bus,,,
12,1300,0.872627341,6.676306382,0.116613369,0,38.52185384,guitar,,,
13,1300,0.37962307,12.54297053,0.398632545,0,38.53431767,motorbike,,,
14,1300,0.587714033,9.996944426,0.260713696,0,38.49065262,pistol,,,
15,1300,0.742266951,8.352992659,0.180078291,0,38.46966012,skateboard,,,
overall,16,0.47541311,12.0712596,0.425520244,0,38.45170817,,,,
PCN*,8,0.432818018,12.74606936,0.473743334,0,38.4372355,,,,
,,,,,,,,,,
