taxonomy_id,#Count,#F1-score,#CDL1,#CDL2,#EMDistance,#Objname
2773838,83,0.428718226,15.08480318,1.187212656,0,bag
2801938,113,0.41037696,16.27521365,1.528128806,0,basket
2843684,73,0.422705871,19.28805728,2.231021935,0,birdhouse
2880940,186,0.396186209,15.88136769,1.127418995,0,bowl
2942699,113,0.395920141,22.71278288,3.16227723,0,camera
2946921,108,0.416765484,15.30580773,1.212797303,0,can
2954340,56,0.398973763,22.14239945,3.157847961,0,cap
3207941,93,0.409679598,16.18243795,1.195367665,0,dishwasher
3261776,73,0.400610728,26.66939673,5.31969254,0,earphone
3513137,162,0.379094743,24.82153834,3.76760952,0,helmet
3085013,65,0.52886049,9.655428952,0.428244078,0,keyboard
3710193,94,0.481660346,15.88436722,1.691625074,0,mailbox
3759954,67,0.498796293,16.92435149,2.502312297,0,microphone
3761084,152,0.407589858,16.96993696,1.488733939,0,microwaves
3938244,96,0.414310485,16.07027807,1.319403844,0,pillow
4004475,166,0.404127135,18.93791432,2.025845906,0,printer
4074963,66,0.5449477,9.928424192,0.482436106,0,remote
4099429,85,0.642206304,9.65507555,0.729008807,0,rocket
4225987,152,0.545028626,10.89661094,0.705181563,0,skateboard
4460130,133,0.465139379,15.51237814,1.446134568,0,tower
4554684,169,0.410742584,18.17012359,1.597013898,0,washer
overall,21,0.447735282,16.71279497,1.824348319,0,
