taxonomy_id,#Count,#F1-score,#CDL1,#CDL2,#EMDistance,#Objname
2773838,83,0.502849056,12.05257422,0.799396524,0,bag
2801938,113,0.467756716,12.52342998,0.822869118,0,basket
2843684,73,0.481998845,13.97978301,1.122707963,0,birdhouse
2880940,186,0.453068273,12.17881212,0.630578512,0,bowl
2942699,113,0.451953115,16.69934653,1.53489822,0,camera
2946921,108,0.471563709,12.05350739,0.725188306,0,can
2954340,56,0.485308714,13.98868777,1.358619214,0,cap
3207941,93,0.457693285,12.54513288,0.739811429,0,dishwasher
3261776,73,0.487185714,16.29206145,1.959747359,0,earphone
3513137,162,0.435892718,17.39397283,1.972698934,0,helmet
3085013,65,0.590374012,8.27416106,0.302456334,0,keyboard
3710193,94,0.604005527,11.09827353,0.835191028,0,mailbox
3759954,67,0.676622099,10.53835023,1.260730907,0,microphone
3761084,152,0.452267595,13.40493338,0.902128595,0,microwaves
3938244,96,0.492153835,11.92011962,0.690132758,0,pillow
4004475,166,0.465559854,13.97655133,1.116806668,0,printer
4074963,66,0.628588716,8.083515153,0.306150227,0,remote
4099429,85,0.764503831,7.229774803,0.405216957,0,rocket
4225987,152,0.678230188,7.666948165,0.353937216,0,skateboard
4460130,133,0.571455106,11.34994718,0.782556659,0,tower
4554684,169,0.457029101,13.49284857,0.961418251,0,washer
overall,21,0.527431429,12.22584434,0.941106723,0,
