taxonomy_id,#Count,#F1-score,#CDL1,#CDL2,#EMDistance,#Objname
2773838,83,0.525002295,10.00611677,0.422965426,0,bag
2801938,113,0.473408585,11.60007331,0.600519294,0,basket
2843684,73,0.495050884,12.28221359,0.809191109,0,birdhouse
2880940,186,0.458414644,11.80513995,0.589658098,0,bowl
2942699,113,0.465399867,13.34596431,0.817427565,0,camera
2946921,108,0.478551892,10.97988519,0.507719379,0,can
2954340,56,0.50403757,10.85715267,0.570673124,0,cap
3207941,93,0.463023731,11.6254509,0.55305273,0,dishwasher
3261776,73,0.512761242,12.71889012,0.960242746,0,earphone
3513137,162,0.444699743,14.14121936,1.047552912,0,helmet
3085013,65,0.583524512,8.26180618,0.278138584,0,keyboard
3710193,94,0.631396597,9.009251914,0.469408094,0,mailbox
3759954,67,0.727813068,7.807395914,0.561404398,0,microphone
3761084,152,0.457217036,12.29217039,0.669367722,0,microwaves
3938244,96,0.513841424,10.19061672,0.451374862,0,pillow
4004475,166,0.472311714,12.18189555,0.719739073,0,printer
4074963,66,0.62566229,7.767652223,0.258523279,0,remote
4099429,85,0.804810467,6.239148269,0.251274007,0,rocket
4225987,152,0.668479592,7.217792072,0.241277081,0,skateboard
4460130,133,0.593964834,9.632062761,0.475105475,0,tower
4554684,169,0.461662265,12.09859127,0.642334702,0,washer
overall,21,0.541001631,10.57430902,0.571283317,0,
