taxonomy_id,#Count,#F1-score,#CDL1,#CDL2,#EMDistance,#FPS,#Objname
2691156,809,0.704629023,7.300781114,0.293371018,0,24.47481936,airplane
2773838,17,0.544851152,10.42689506,0.594635793,0,24.26904307,bag
2801938,23,0.467159931,11.63997177,0.607688641,0,24.36939962,basket
2808440,172,0.505647438,11.17861932,0.652635915,0,24.43545415,bathtub
2818832,47,0.496543414,12.51807813,0.901233123,0,24.38626872,bed
2828884,363,0.625291908,8.088013292,0.34390614,0,24.46129855,bench
2843684,15,0.4665444,14.03299411,1.051027721,0,24.48564915,birdhouse
2871439,91,0.480788968,12.10398334,0.807570226,0,24.49530398,bookshelf
2876657,100,0.604764614,8.848139529,0.443127858,0,24.42683014,bottle
2880940,38,0.466378729,11.46001015,0.565798125,0,24.46398013,bowl
2924116,188,0.565567553,9.169307293,0.418890675,0,24.37910536,bus
2933112,315,0.478740004,11.06465284,0.559142543,0,24.4205737,cabinet
2942699,23,0.458996144,15.66333924,1.432934652,0,24.35634964,camera
2946921,22,0.483687565,11.90996903,0.748991242,0,24.5895625,can
2954340,12,0.510284431,10.56171791,0.535624512,0,24.40274367,cap
2958343,703,0.461696971,11.96967748,0.65783292,0,24.46612485,car
2992529,167,0.609593082,7.842488095,0.27305213,0,24.36178315,cellphone
3001627,1356,0.558754624,10.23587927,0.56023215,0,24.46717144,chair
3046257,131,0.525520527,10.80655775,0.614179456,0,24.44122561,clock
3207941,19,0.473367048,12.01792105,0.702891993,0,24.40068601,dishwasher
3211117,219,0.557565917,9.591246137,0.480449414,0,24.43071721,display
3261776,15,0.513168397,12.81520459,0.986800281,0,24.54536967,earphone
3325088,149,0.597769579,11.1660302,0.84883778,0,24.41817675,faucet
3337140,60,0.475240191,11.70606946,0.665700792,0,24.45597537,file cabinet
3991062,121,0.467411656,13.98722803,1.045370534,0,24.40529318,flowerpot
3467517,160,0.861494175,5.014850013,0.144898384,0,24.44976538,guitar
3513137,33,0.449763815,15.43104842,1.392424248,0,24.44695026,helmet
3593526,120,0.486308329,12.59511463,0.860537543,0,24.45385917,jar
3085013,13,0.630919333,7.454084616,0.258538848,0,24.56977423,keyboard
3624134,85,0.820873436,5.525173841,0.185621451,0,24.52473148,knife
3636649,464,0.657939758,10.43458684,0.931839888,0,24.47127716,lamp
3642806,92,0.586074362,8.058716209,0.269062102,0,24.41848375,laptop
3691459,320,0.482410355,12.74411638,0.901701205,0,24.42839358,loudspeaker
3710193,19,0.660145601,8.865766099,0.513055806,0,24.57701911,mailbox
3759954,14,0.634470969,10.6341113,0.834914395,0,24.41285109,microphone
3761084,31,0.474624498,12.21329824,0.801602864,0,24.43730502,microwaves
3790512,68,0.477701136,12.78823387,0.816616461,0,24.50012224,motorbike
3797390,43,0.444125324,13.05214716,0.826231373,0,24.56500205,mug
3928116,48,0.508982809,11.45751908,0.697431643,0,24.45311252,piano
3938244,20,0.512680736,11.04908271,0.628477523,0,24.46495399,pillow
3948459,62,0.629120705,8.962674449,0.451518192,0,24.49988181,pistol
4004475,34,0.491141438,12.38365524,0.881965443,0,24.48945476,printer
4074963,14,0.637182151,7.900612661,0.336894489,0,24.2601176,remote
4090263,475,0.767383216,7.014464322,0.311717928,0,24.45544111,rifle
4099429,17,0.78320376,6.761286062,0.304449323,0,24.38227168,rocket
4225987,31,0.712535953,6.903355429,0.249838538,0,24.39332951,skateboard
4256520,635,0.515684393,10.39719462,0.512881338,0,24.45061665,sofa
4330267,44,0.507878336,11.49517196,0.714240083,0,24.46923449,stove
4379243,1687,0.584781434,9.149780489,0.479085807,0,24.459898,table
4401088,218,0.615104464,7.785881913,0.280181856,0,24.48048154,telephone
4460130,27,0.586972741,10.33751735,0.614579051,0,24.3679094,tower
4468005,78,0.582163163,9.504681098,0.508267246,0,24.46944666,train
2747177,69,0.444412703,12.75227527,0.781510207,0,24.50477675,trash bin
4554684,34,0.464188084,13.20705344,0.930012997,0,24.45605617,washer
4530566,388,0.652508453,8.565865155,0.453029211,0,24.44558185,watercraft
overall,55,0.559322525,10.51898351,0.630273656,0,24.4466728,
